feedback_id,date_created_dt,question_txt,question_type_txt,answer_txt,date_feedback_received_dt,key_driver_txt,workplace_location_id,survey_role,answer_score_txt,answer_score_int
19548291,2024-02-19,How satisfied are you that the provided technology solutions meets the business needs?,rated 0-10,9,2024-02-19,Technology ,,,9,4.5
19548291,2024-02-19,Move Support,rated 0-10,9,2024-02-19,Move support ,,,9,4.5
19548291,2024-02-19,How satisfied are you that your management team had the support they needed to guide employees through this change?,rated 0-10,9,2024-02-19,Change Mgmt/Comms,,,9,4.5
19548291,2024-02-19,Change Management/Communications,rated 0-10,8,2024-02-19,Change Mgmt/Comms,,,8,4.0
19548291,2024-02-19,Project Delivery,rated 0-10,9,2024-02-19,Delivery ,,,9,4.5
19548291,2024-02-19,How satisfied are you that the project team met the communicated schedule and delivery expectations?,rated 0-10,9,2024-02-19,Delivery ,,,9,4.5
19548291,2024-02-19,Would you have benefitted from more guidance on how to lead this change?,yes no,No,2024-02-19,Change Mgmt/Comms,,,,
19548291,2024-02-19,Do you have specific comments you would like to share about the schedule and expectations?,text,Project was delivered on time and was pretty seamless.  Overall a good experience in my opinion.  It's a lot to execute and a lot of planning and it came together well overall of the restacking / moves.,2024-02-19,,,,,
19548291,2024-02-19,Do you have any additional comments you would like to share about the delivery of your new workplace?,text,,2024-02-19,,,,,
19548291,2024-02-19,Project Leadership,rated 0-10,9,2024-02-19,,,,9,4.5
19548291,2024-02-19,Please select which workplace location you work at:,single-select,MN101 Twin Cities Consolidation Phase 1,2024-02-19,,MN101,,,
19548291,2024-02-19,Please select the role that best describes your involvement in the delivery of your new workplace:,single-select,Site Leader / Executive Leader,2024-02-19,,,Site Leader / Executive Leader,,
19548291,2024-02-19,Please share your ideas on how we could improve the guidance we provide.,text,Try to avoid changes to communications after sending out.  Mistakes happen and multiple communications with dates changing can cause confusion at times.,2024-02-19,,,,,
19548291,2024-02-19,Do you have specific comments you would like to share about the technology in your new workplace?,text,The printers are not as stable as they used to be.  Ink is not restocked at times and printers have been inoperable at times.,2024-02-19,,,,,
19548291,2024-02-19,Care to tell us why? Your feedback helps us improve our workplace delivery.,text,"Seamless process and easy to follow instructions.  Very easy.  Rated '9' and not '10' because a few of the communications had to be re-sent and resulted in changed understanding of timelines / process, etc.  Once everything was finalized, it was very smooth process.",2024-02-19,,,,,
18589942,2023-09-26,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",rated 0-10,8,2023-09-26,Technology ,,,8,4.0
18589942,2023-09-26,How satisfied are you with the overall delivery of your new workplace?,rated 0-10,9,2023-09-26,Delivery ,,,9,4.5
18589942,2023-09-26,How satisfied are you with the move support?,rated 0-10,9,2023-09-26,Move Support ,,,9,4.5
18589942,2023-09-26,Do you have specific comments you would like to share about your new workplace?,text,,2023-09-26,,,,,
18589942,2023-09-26,Do you have any additional comments you would like to share about the delivery of your new workplace?,text,,2023-09-26,,,,,
18589942,2023-09-26,Do you have specific comments you would like to share about the move support?,text,,2023-09-26,,,,,
