FeedbackId,DateCreated,Question,QuestionType,Answer,DateFeedbackReceived
19548291,2/19/24 14:54,How satisfied are you that the provided technology solutions meets the business needs?,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,Move Support,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,How satisfied are you that your management team had the support they needed to guide employees through this change?,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,Change Management/Communications,Rated0-10,8,2024-02-19
19548291,2/19/24 14:54,Project Delivery,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,How satisfied are you that the project team met the communicated schedule and delivery expectations?,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,Would you have benefitted from more guidance on how to lead this change?,YesNo,No,2024-02-19
19548291,2/19/24 14:54,Do you have specific comments you would like to share about the schedule and expectations?,TEXT,Project was delivered on time and was pretty seamless.  Overall a good experience in my opinion.  It's a lot to execute and a lot of planning and it came together well overall of the restacking / moves.,2024-02-19
19548291,2/19/24 14:54,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2024-02-19
19548291,2/19/24 14:54,Project Leadership,Rated0-10,9,2024-02-19
19548291,2/19/24 14:54,Please select which workplace location you work at:,SINGLESELECT,MN101 Twin Cities Consolidation Phase 1,2024-02-19
19548291,2/19/24 14:54,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Site Leader / Executive Leader,2024-02-19
19548291,2/19/24 14:54,Please share your ideas on how we could improve the guidance we provide.,TEXT,Try to avoid changes to communications after sending out.  Mistakes happen and multiple communications with dates changing can cause confusion at times.,2024-02-19
19548291,2/19/24 14:54,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,The printers are not as stable as they used to be.  Ink is not restocked at times and printers have been inoperable at times.,2024-02-19
19548291,2/19/24 14:54,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,"Seamless process and easy to follow instructions.  Very easy.  Rated '9' and not '10' because a few of the communications had to be re-sent and resulted in changed understanding of timelines / process, etc.  Once everything was finalized, it was very smooth process.",2024-02-19
18589942,9/26/23 10:52,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,8,2023-09-26
18589942,9/26/23 10:52,How satisfied are you with the overall delivery of your new workplace?,Rated0-10,9,2023-09-26
18589942,9/26/23 10:52,How satisfied are you with the move support?,Rated0-10,9,2023-09-26
18589942,9/26/23 10:52,Do you have specific comments you would like to share about your new workplace?,TEXT,,2023-09-26
18589942,9/26/23 10:52,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2023-09-26
18589942,9/26/23 10:52,Do you have specific comments you would like to share about the move support?,TEXT,,2023-09-26
18589942,9/26/23 10:52,"How satisfied are you with your new workplace? (collaboration space, private space, exam room, provider space etc.)",Rated0-10,7,2023-09-26
18589942,9/26/23 10:52,Please select which workplace location you work at:,SINGLESELECT,TX547,2023-09-26
18589942,9/26/23 10:52,Do you have specific comments you would like to share about these events?,TEXT,,2023-09-26
18589942,9/26/23 10:52,How satisfied are you that the communications outlining when and how you would be impacted by the new workplace delivery provided all the information needed?,Rated0-10,10,2023-09-26
18589942,9/26/23 10:52,How satisfied are you that the guidance you received prepared you to help manage this move?,Rated0-10,10,2023-09-26
18589942,9/26/23 10:52,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2023-09-26
18589942,9/26/23 10:52,Please share your ideas on how we could improve the guidance we provide.,TEXT,,2023-09-26
18589942,9/26/23 10:52,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2023-09-26
18589942,9/26/23 10:52,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2023-09-26
19247822,1/9/24 19:42,Did you participate in a change management event listed below? (select all that apply),MULTISELECT,Manager Orientation;Lunch & Learn;Move Info Session;,2024-01-09
19247822,1/9/24 19:42,Did the information shared in these events prepare you for the first day in your new workplace?,YesNo,Yes,2024-01-09
19247822,1/9/24 19:42,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,9,2024-01-09
19247822,1/9/24 19:42,How satisfied are you with the move support?,Rated0-10,9,2024-01-09
19247822,1/9/24 19:42,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2024-01-09
19247822,1/9/24 19:42,Do you have specific comments you would like to share about the move support?,TEXT,,2024-01-09
19247822,1/9/24 19:42,Please select which workplace location you work at:,SINGLESELECT,"CA013 – 7 Technology Dr, Irvine",2024-01-09
19247822,1/9/24 19:42,Do you have specific comments you would like to share about these events?,TEXT,,2024-01-09
19247822,1/9/24 19:42,Does your new workplace environment impact how often you come to the office?,SINGLESELECT,"No, I come in the same",2024-01-09
19247822,1/9/24 19:42,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2024-01-09
19247822,1/9/24 19:42,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2024-01-09
19247822,1/9/24 19:42,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2024-01-09
18589830,9/26/23 10:22,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,8,2023-09-06
18589830,9/26/23 10:22,How satisfied are you with the overall delivery of your new workplace?,Rated0-10,7,2023-09-06
18589830,9/26/23 10:22,How satisfied are you with the move support?,Rated0-10,7,2023-09-06
18589830,9/26/23 10:22,Do you have specific comments you would like to share about your new workplace?,TEXT,,2023-09-06
18589830,9/26/23 10:22,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2023-09-06
18589830,9/26/23 10:22,Do you have specific comments you would like to share about the move support?,TEXT,,2023-09-06
18589830,9/26/23 10:22,"How satisfied are you with your new workplace? (collaboration space, private space, exam room, provider space etc.)",Rated0-10,7,2023-09-06
18589830,9/26/23 10:22,Please select which workplace location you work at:,SINGLESELECT,GA019,2023-09-06
18589830,9/26/23 10:22,Do you have specific comments you would like to share about these events?,TEXT,,2023-09-06
18589830,9/26/23 10:22,How satisfied are you that the communications outlining when and how you would be impacted by the new workplace delivery provided all the information needed?,Rated0-10,7,2023-09-06
18589830,9/26/23 10:22,How satisfied are you that the guidance you received prepared you to help manage this move?,Rated0-10,7,2023-09-06
18589830,9/26/23 10:22,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2023-09-06
18589830,9/26/23 10:22,Please share your ideas on how we could improve the guidance we provide.,TEXT,,2023-09-06
18589830,9/26/23 10:22,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2023-09-06
18589830,9/26/23 10:22,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2023-09-06
18571121,9/22/23 11:44,Move Support,Rated0-10,10,2023-09-22
18571121,9/22/23 11:44,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,9,2023-09-22
18571121,9/22/23 11:44,How satisfied are you with the overall delivery of your new workplace?,Rated0-10,10,2023-09-22
18571121,9/22/23 11:44,Do you have specific comments you would like to share about your new workplace?,TEXT,,2023-09-22
18571121,9/22/23 11:44,Clean sweep support,Rated0-10,9,2023-09-22
18571121,9/22/23 11:44,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,NA,2023-09-22
18571121,9/22/23 11:44,"How satisfied are you with your new workplace? (collaboration space, private space, exam room, provider space etc.)",Rated0-10,10,2023-09-22
18571121,9/22/23 11:44,Communications and materials to support your team,Rated0-10,8,2023-09-22
18571121,9/22/23 11:44,Please select which workplace location you work at:,SINGLESELECT,"San Antonio, TX (Wellmed)",2023-09-22
18571121,9/22/23 11:44,Do you have specific comments you would like to share about these events?,TEXT,,2023-09-22
18571121,9/22/23 11:44,How satisfied are you that the communications outlining when and how you would be impacted by the new workplace delivery provided all the information needed?,Rated0-10,10,2023-09-22
18571121,9/22/23 11:44,How satisfied are you that the guidance you received prepared you to help manage this move?,Rated0-10,10,2023-09-22
18571121,9/22/23 11:44,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Business Segment Liaison (BSL),2023-09-22
18571121,9/22/23 11:44,Please share your ideas on how we could improve the guidance we provide.,TEXT,,2023-09-22
18571121,9/22/23 11:44,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2023-09-22
18571121,9/22/23 11:44,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2023-09-22
19548410,2/19/24 15:11,Did you participate in a change management event listed below? (select all that apply),MULTISELECT,Manager Orientation;Open House;,2024-02-19
19548410,2/19/24 15:11,Did the information shared in these events prepare you for the first day in your new workplace?,YesNo,Yes,2024-02-19
19548410,2/19/24 15:11,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,5,2024-02-19
19548410,2/19/24 15:11,How satisfied are you with the move support?,Rated0-10,10,2024-02-19
19548410,2/19/24 15:11,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2024-02-19
19548410,2/19/24 15:11,Do you have specific comments you would like to share about the move support?,TEXT,,2024-02-19
19548410,2/19/24 15:11,Please select which workplace location you work at:,SINGLESELECT,MN101 Twin Cities Consolidation Phase 1,2024-02-19
19548410,2/19/24 15:11,Do you have specific comments you would like to share about these events?,TEXT,,2024-02-19
19548410,2/19/24 15:11,Does your new workplace environment impact how often you come to the office?,SINGLESELECT,"No, I come in the same",2024-02-19
19548410,2/19/24 15:11,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2024-02-19
19548410,2/19/24 15:11,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,I work more effectively with larger monitors with higher pixel density. E.g. 27 inch screens with 4K resolution.,2024-02-19
19548410,2/19/24 15:11,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2024-02-19
18588828,9/26/23 9:58,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated0-10,0,2023-09-26
18588828,9/26/23 9:58,How satisfied are you with the overall delivery of your new workplace?,Rated0-10,0,2023-09-26
18588828,9/26/23 9:58,How satisfied are you with the move support?,Rated0-10,0,2023-09-26
18588828,9/26/23 9:58,Do you have specific comments you would like to share about your new workplace?,TEXT,,2023-09-26
18588828,9/26/23 9:58,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2023-09-26
18588828,9/26/23 9:58,Do you have specific comments you would like to share about the move support?,TEXT,,2023-09-26
18588828,9/26/23 9:58,"How satisfied are you with your new workplace? (collaboration space, private space, exam room, provider space etc.)",Rated0-10,0,2023-09-26
18588828,9/26/23 9:58,Please select which workplace location you work at:,SINGLESELECT,"San Antonio, TX (Wellmed)",2023-09-26
18588828,9/26/23 9:58,Do you have specific comments you would like to share about these events?,TEXT,,2023-09-26
18588828,9/26/23 9:58,How satisfied are you that the communications outlining when and how you would be impacted by the new workplace delivery provided all the information needed?,Rated0-10,0,2023-09-26
18588828,9/26/23 9:58,How satisfied are you that the guidance you received prepared you to help manage this move?,Rated0-10,0,2023-09-26
